127.0.0.1 - - [22/Jun/2023:18:14:09 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [22/Jun/2023:18:14:10 +0900] "GET /JSPProj/ HTTP/1.1" 200 6864
0:0:0:0:0:0:0:1 - - [22/Jun/2023:18:14:14 +0900] "GET /JSPProj HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2023:18:14:14 +0900] "GET /JSPProj/ HTTP/1.1" 200 6864
0:0:0:0:0:0:0:1 - - [22/Jun/2023:18:14:15 +0900] "GET /JSPProj HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2023:18:14:15 +0900] "GET /JSPProj/ HTTP/1.1" 200 6864
0:0:0:0:0:0:0:1 - - [22/Jun/2023:18:14:16 +0900] "GET /JSPProj HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2023:18:14:16 +0900] "GET /JSPProj/ HTTP/1.1" 200 6864
0:0:0:0:0:0:0:1 - - [22/Jun/2023:18:14:17 +0900] "GET /JSPProj HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2023:18:14:17 +0900] "GET /JSPProj/ HTTP/1.1" 200 6864
0:0:0:0:0:0:0:1 - - [22/Jun/2023:18:14:18 +0900] "GET /JSPProj/session06/Login.jsp HTTP/1.1" 200 4181
0:0:0:0:0:0:0:1 - - [22/Jun/2023:18:17:34 +0900] "GET /JSPProj HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2023:18:17:34 +0900] "GET /JSPProj/ HTTP/1.1" 200 6864
0:0:0:0:0:0:0:1 - - [22/Jun/2023:18:17:38 +0900] "GET /JSPProj HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2023:18:17:38 +0900] "GET /JSPProj/ HTTP/1.1" 200 6864
0:0:0:0:0:0:0:1 - - [22/Jun/2023:18:17:42 +0900] "GET /JSPProj/bbs08/List.jsp HTTP/1.1" 200 4174
0:0:0:0:0:0:0:1 - - [22/Jun/2023:18:17:44 +0900] "GET /JSPProj/DataRoom/List.kosmo HTTP/1.1" 200 6864
0:0:0:0:0:0:0:1 - - [22/Jun/2023:18:17:46 +0900] "GET /JSPProj/bbs08/List.jsp HTTP/1.1" 200 4174
0:0:0:0:0:0:0:1 - - [22/Jun/2023:18:17:51 +0900] "POST /JSPProj/session06/LoginProcessBasedToken.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2023:18:17:51 +0900] "GET /JSPProj/session06/MyPageBasedToken.jsp HTTP/1.1" 200 4152
0:0:0:0:0:0:0:1 - - [22/Jun/2023:18:17:53 +0900] "GET /JSPProj/bbs08/List.jsp HTTP/1.1" 200 7512
0:0:0:0:0:0:0:1 - - [22/Jun/2023:18:17:58 +0900] "GET /JSPProj/bbs08/List.jsp?&nowPage=2 HTTP/1.1" 200 5848
0:0:0:0:0:0:0:1 - - [22/Jun/2023:18:18:00 +0900] "GET /JSPProj/bbs08/View.jsp?no=23&nowPage=2&&pageSize=10 HTTP/1.1" 200 6059
0:0:0:0:0:0:0:1 - - [22/Jun/2023:18:18:10 +0900] "GET /JSPProj/session06/Login.jsp HTTP/1.1" 200 4187
0:0:0:0:0:0:0:1 - - [22/Jun/2023:18:18:11 +0900] "GET /JSPProj/session06/LogoutBasedToken.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2023:18:18:11 +0900] "GET /JSPProj/session06/LoginBasedToken.jsp HTTP/1.1" 200 4142
